accession,prop_value
NCT00006045:I.1001,"Histologically proven acute myelogenous leukemia (AML) that may have been primary AML, secondary AML, or preceded by hematologic disorder"
NCT00006045:I.1002,"All FAB subtypes except M3 Must meet one of the following three criteria: 
- First relapse within 1 year after documentation of a previous complete remission (CR) achieved by chemotherapy- Refractory to prior chemotherapy comprised of a minimum of 1 induction course, including cytarabine at a minimum of 500 mg/m2 (e.g., 100 mg/m2/day for 5 days) plus an anthracycline 
- No high dose cytarabine (no cumulative dose greater than 3 g/m2)"
NCT00006045:I.1003,"First relapse from a previous CR with subsequent autologous bone marrow transplantation (BMT), only if all of the following criteria are met:- First BMT At least 100 days but less than 1 year posttransplantation- At least 25% cellularity of the bone marrow- Previous BMT included full hematopoietic recovery, defined by all of the following:-- Hemoglobin at least 10 g/dL (without transfusion)-- Platelet count at least 100,000/mm3 (without transfusion)-- Absolute neutrophil count at least 1,500/mm3"
NCT00006045:I.1004,"No transplantation candidates"
NCT00006045:I.1005,"Bone marrow blasts (leukemic cells) greater than 10%No chronic myelogenous leukemia in blast crisis"
NCT00006045:I.1006,"No active CNS leukemia"
NCT00006045:I.2001,"Age: 18 and over"
NCT00006045:I.2002,"Karnofsky 50-100%"
NCT00006045:I.2003,"Bilirubin less than 2.0 mg/dL (unless related to Gilbert's disease or due to leukemic infiltration)"
NCT00006045:I.2004,"SGOT or SGPT no greater than 4 times upper limit of normal (unless related to AML)C1522609"
NCT00006045:I.2005,"Creatinine less than 2.0 mg/dL (unless related to AML)"
NCT00006045:I.2006,"Left ventricular function normalNo unstable cardiac arrhythmias, unstable angina pectoris, or myocardial infarction within the past 6 monthsNo New York Heart Association class III or IV heart diseaseNo electrocardiogram evidence of active ischemia"
NCT00006045:I.2007,"Not pregnant or nursingNegative pregnancy testFertile patients must use effective contraception during and for 1 month after studynegation"
NCT00006045:I.2008,"HIV negative"
NCT00006045:I.2009,"No other active malignancy requiring therapyNo active serious infection that is uncontrolled by antimicrobial therapyMedically stableNo significant organ dysfunction"
NCT00006045:I.3001,"At least 30 days since prior experimental biologic therapy (e.g., interleukin-2)No concurrent biologic therapy, including bone marrow transplantation"
NCT00006045:I.3002,"For first relapse AML with recent or prior chemotherapy: Prior hydroxyurea given as a short course (up to 48 hours) allowed, if needed, to reduce the peripheral leukocyte countHydroxyurea must be discontinued prior to studyFor refractory AML with recent or prior chemotherapy: Greater than 2 weeks since prior chemotherapy except hydroxyurea given as aboveNo other concurrent chemotherapy"
NCT00006045:I.3003,"No concurrent radiotherapy"
NCT00006045:I.3004,"No other concurrent experimental therapy 
Concurrent therapy for other preexisting diseases allowed"
NCT00048295:I.1001,"Age at least 12 years"
NCT00048295:I.1002,"Weight at least 36 kg"
NCT00048295:I.1003,"CDAI score of 220 - 400"
NCT00048295:I.1004,"Documentation of Crohns disease activity by endoscopy, biopsy or imaging in the last 2 years"
NCT00048295:I.1005,"No TNF-alpha inhibitor treatment for three months prior to first study drug infusion"
NCT00048295:I.2001,"Known severe, fixed, symptomatic stenosis of the small or large intestine with significant dilation"
NCT00048295:I.2002,"Extensive external fistulization (>3 external fistulae which are expressible with gentle compression); colostomy or ileostomy"
NCT00048295:I.2003,"Active infection, including infectious colitis, or infection with HIV, Hepatitis B or Hepatitis C"
NCT00048295:I.2004,"Malignancy within 3 years or poorly controlled medical illness"
NCT00048295:I.2005,"Requires intravenous heparin therapy or with a history of a bleeding problem"
NCT00050999:I.1001,"18 Years and older"
NCT00050999:I.1002,"Histopathologically confirmed recurrent or persistent CTCL as determined by reference pathology lab"
NCT00050999:I.1003,"Patient must have had 1 to 3 prior CTCL therapies. Repeated use of the same agent is considered to be 1 therapy unless it is part of a different combination regimen. Only 1 prior combination cytotoxic regimen is permitted. Topical or systemic steroids are not considered a therapy"
NCT00050999:I.1004,"Interleukin-2 receptor (IL-2R) expression on at least 20% of tumor cells as determined by immunohistochemistry"
NCT00050999:I.1005,"Stage IA - III disease and unlikely to progress during the first month on study. Life expectancy of at least 12 months. Measurable or evaluable disease. Lymph node involvement no greater than LN2. No CTCL involvement of bone marrow."
NCT00050999:I.1006,"No active CNS disease, kidney or liver disease, significant pulmonary disease, or cardiac disease. No systemic infections"
NCT00050999:I.1007,"Willingness to be randomized to a placebo treatment only arm"
NCT00050999:I.1008,"ECOG performance status 0 or 1"
NCT00050999:I.2001,"Patients must not have previously received treatment with DAB389IL-2 or DAB486IL 2 (previous candidate compound evaluated in a clinical setting)."
S.0000:I.0000,"Medical diagnosis of CTCL, and positivity for the CD4 receptor"
S.0000:I.0001,"Late stage CTCL"
S.0000:I.0002,"Have received at least one prior anti-cancer therapy with inadequate effect"
S.0000:I.0003,"WHO performance status 0,1 or 2"
S.0000:I.0004,"Age 18 or older"
S.0000:I.0005,"Certain rare types of CTCL"
S.0000:I.0006,"Previous treatment with other anti-CD4 medications"
S.0000:I.0007,"More than two previous treatments with systemic chemotherapy"
S.0000:I.0008,"Certain anti-psoriasis or anti-cancer therapies within the last 4 weeks before entering this trial"
S.0000:I.0009,"Some types of steroid treatments less than two weeks before entering the trial"
S.0000:I.0010,"Prolonged exposure to sunlight or UV light during the trial"
S.0000:I.0011,"Other cancer diseases, except certain skin cancers or cervix cancer"
S.0000:I.0012,"Chronic infectious disease requiring medication"
S.0000:I.0013,"Certain serious medical conditions, including kidney or liver disease, some psychiatric illnesses, and stomach, lung, heart, hormonal, nerve or blood diseases"
S.0000:I.0014,"Certain laboratory values which are too high or too low"
S.0000:I.0015,"HIV positivity"
S.0000:I.0016,"Pregnant or breast-feeding women"
S.0000:I.0017,"Women of childbearing age who are unable or unwilling to use an IUD or hormonal birth control during the whole trial"
S.0000:I.0018,"If you are participating in another trial with a different new drug 4 weeks before you enter this trial"
